method,rows,mean_cost,mean_failures,mean_representation_size,mean_gcs_cost,mean_replan_cost,delta_vs_replan
behavior_tree_fallback,1215,65.265053,0.0,207.813,65.265053,102.780521,-37.515468
belief_cost_proxy,1215,94.700137,4.590809,64.0,65.265053,102.780521,-8.080384
delayed_gcs,1215,103.150486,5.798903,45897.702,65.265053,102.780521,0.369964
gcs_eager,1215,65.265053,0.0,45897.702,65.265053,102.780521,-37.515468
gcs_lazy,1215,65.265053,0.0,50487.472,65.265053,102.780521,-37.515468
gcs_robust,1215,67.79516,0.0,55077.242,65.265053,102.780521,-34.985361
gcs_thresholded,1215,91.197695,4.021125,50487.472,65.265053,102.780521,-11.582826
linear_default,1215,360.461591,52.010014,64.0,65.265053,102.780521,257.68107
myopic_voi,1215,65.265053,0.0,50487.472,65.265053,102.780521,-37.515468
no_dominance_gcs,1215,65.265053,0.0,62025.898,65.265053,102.780521,-37.515468
no_sharing_gcs,1215,65.265053,0.0,492298131.438,65.265053,102.780521,-37.515468
oracle_assignment,1215,64.0,0.0,64.0,65.265053,102.780521,-38.780521
probe_all_local,1215,65.265053,0.0,45897.702,65.265053,102.780521,-37.515468
probe_all_tree,1215,65.28,0.0,549500415.0,65.265053,102.780521,-37.500521
replan_on_failure,1215,102.780521,5.798903,64.0,65.265053,102.780521,0.0
