control,method,rows,mean_cost,mean_failures,mean_representation_size,mean_gcs_cost,mean_replan_cost,delta_vs_replan
all_upfront,gcs_eager,60,64.64,0.0,16393.0,64.64,70.625,-5.985
all_upfront,gcs_lazy,60,64.64,0.0,18032.3,64.64,70.625,-5.985
all_upfront,no_sharing_gcs,60,64.64,0.0,16895.0,64.64,70.625,-5.985
all_upfront,oracle_assignment,60,64.0,0.0,64.0,64.64,70.625,-6.625
all_upfront,probe_all_local,60,64.64,0.0,16393.0,64.64,70.625,-5.985
all_upfront,replan_on_failure,60,70.625,0.99375,64.0,64.64,70.625,0.0
dense_all_guards,gcs_eager,60,65.28,0.0,16401.0,65.28,88.091667,-22.811667
dense_all_guards,gcs_lazy,60,65.28,0.0,18041.1,65.28,88.091667,-22.811667
dense_all_guards,no_sharing_gcs,60,65.28,0.0,4325375.0,65.28,88.091667,-22.811667
dense_all_guards,oracle_assignment,60,64.0,0.0,64.0,65.28,88.091667,-24.091667
dense_all_guards,probe_all_local,60,65.28,0.0,16401.0,65.28,88.091667,-22.811667
dense_all_guards,replan_on_failure,60,88.091667,3.595833,64.0,65.28,88.091667,0.0
expensive_probe,gcs_eager,60,191.066667,0.0,272.883,191.066667,110.95,80.116667
expensive_probe,gcs_lazy,60,99.8625,5.377083,300.172,191.066667,110.95,-11.0875
expensive_probe,no_sharing_gcs,60,191.066667,0.0,4091083.8,191.066667,110.95,80.116667
expensive_probe,oracle_assignment,60,64.0,0.0,64.0,191.066667,110.95,-46.95
expensive_probe,probe_all_local,60,191.066667,0.0,272.883,191.066667,110.95,80.116667
expensive_probe,replan_on_failure,60,110.95,7.022917,64.0,191.066667,110.95,0.0
missing_all_guards,gcs_eager,60,323.95,38.785417,272.883,323.95,385.0625,-61.1125
missing_all_guards,gcs_lazy,60,323.95,38.785417,300.172,323.95,385.0625,-61.1125
missing_all_guards,no_sharing_gcs,60,323.95,38.785417,4091083.8,323.95,385.0625,-61.1125
missing_all_guards,oracle_assignment,60,64.0,0.0,64.0,323.95,385.0625,-321.0625
missing_all_guards,probe_all_local,60,323.95,38.785417,272.883,323.95,385.0625,-61.1125
missing_all_guards,replan_on_failure,60,385.0625,47.929167,64.0,323.95,385.0625,0.0
no_reuse,gcs_eager,60,65.28,0.0,273.0,65.28,110.616667,-45.336667
no_reuse,gcs_lazy,60,65.28,0.0,300.3,65.28,110.616667,-45.336667
no_reuse,no_sharing_gcs,60,65.28,0.0,4325375.0,65.28,110.616667,-45.336667
no_reuse,oracle_assignment,60,64.0,0.0,64.0,65.28,110.616667,-46.616667
no_reuse,probe_all_local,60,65.28,0.0,273.0,65.28,110.616667,-45.336667
no_reuse,replan_on_failure,60,110.616667,6.93125,64.0,65.28,110.616667,0.0
reversible_failures,gcs_eager,60,65.265333,0.0,272.817,65.265333,82.871875,-17.606542
reversible_failures,gcs_lazy,60,65.265333,0.0,300.098,65.265333,82.871875,-17.606542
reversible_failures,no_sharing_gcs,60,65.265333,0.0,3946904.6,65.265333,82.871875,-17.606542
reversible_failures,oracle_assignment,60,64.0,0.0,64.0,65.265333,82.871875,-18.871875
reversible_failures,probe_all_local,60,65.265333,0.0,272.817,65.265333,82.871875,-17.606542
reversible_failures,replan_on_failure,60,82.871875,6.8625,64.0,65.265333,82.871875,0.0
zero_failure_penalty,gcs_eager,60,65.262667,0.0,272.783,65.262667,78.233333,-12.970667
zero_failure_penalty,gcs_lazy,60,65.262667,0.0,300.062,65.262667,78.233333,-12.970667
zero_failure_penalty,no_sharing_gcs,60,65.262667,0.0,3874815.0,65.262667,78.233333,-12.970667
zero_failure_penalty,oracle_assignment,60,64.0,0.0,64.0,65.262667,78.233333,-14.233333
zero_failure_penalty,probe_all_local,60,65.262667,0.0,272.783,65.262667,78.233333,-12.970667
zero_failure_penalty,replan_on_failure,60,78.233333,7.116667,64.0,65.262667,78.233333,0.0
